RecordDateTime,ModuleName,ThreadId,FileNameAndLineNum,LogLevel,Description
10:47:55:517 , CieMyCtrl , 13576 , "LDTaskMgrAdapter.cpp : 73" , 4 , "send  request 5: POST https://content-yunpan.lenovows.com/v2/commit_chunked_upload/commit/databox [ hashes[]=cf5232126926ec4b6e29b7b5550a936a86a277ab013e0e85361933afb795dd9e ]"
10:47:55:517 , CieMyCtrl , 13576 , "LDTaskMgrAdapter.cpp : 73" , 4 , "server return 5: [ 200 ] {""needed_block"":[""cf5232126926ec4b6e29b7b5550a936a86a277ab013e0e85361933afb795dd9e""],""upload_id"":""4e130961-38c9-4120-9309-6138c9d12089""}"
10:47:55:518 , CieMyCtrl , 8460 , "LDTaskMgrAdapter.cpp : 73" , 4 , "send  request 6: POST https://content-yunpan.lenovows.com/v2/commit_chunked_upload/commit/databox [ hashes[]=33f380a20a29a90a58a02f67cf55553df72ae2d6b7506abc2deda3e8aa151e2a&hashes[]=36a0607b2a7cbc4d05f305db5e1e048c4fcd92845ae523277a6da2d61e4396b3 ]"
10:47:55:518 , CieMyCtrl , 8460 , "LDTaskMgrAdapter.cpp : 73" , 4 , "server return 6: [ 200 ] {""needed_block"":[""33f380a20a29a90a58a02f67cf55553df72ae2d6b7506abc2deda3e8aa151e2a"",""36a0607b2a7cbc4d05f305db5e1e048c4fcd92845ae523277a6da2d61e4396b3""],""upload_id"":""eb461bfd-d122-439e-861b-fdd122c39ea6""}"
10:47:55:554 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:55:554 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:55:554 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:55:554 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:55:732 , CieMyCtrl , 17512 , "LDTaskMgrAdapter.cpp : 73" , 4 , "send  request 7: POST https://content-yunpan.lenovows.com/v2/commit_chunked_upload/commit/databox [ hashes[]=cf5232126926ec4b6e29b7b5550a936a86a277ab013e0e85361933afb795dd9e ]"
10:47:55:732 , CieMyCtrl , 17512 , "LDTaskMgrAdapter.cpp : 73" , 4 , "server return 7: [ 200 ] {""needed_block"":[""cf5232126926ec4b6e29b7b5550a936a86a277ab013e0e85361933afb795dd9e""],""upload_id"":""3c3e511e-2a59-45a8-be51-1e2a5975a85e""}"
10:47:55:927 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , "CTaskDB::DoSave:[insert into task_v2 values(   '3EBEFC553141245C8B6ECE3386224A91', 1584413274294, 1, 4, '{CB6F7374-4E37-454F-8798-170B61D27D9E}', '{""task_id"":""3EBEFC553141245C8B6ECE3386224A91"",""state"":""StateWorking"",""is_folder"":false,""add_time"":1584413274294,""priority"":3,""size"":10238283,""sub_task_count"":1,""is_upload"":true,""error_code"":0,""error_info"":"""",""complete_bytes"":0,""send_bytes"":0,""used_time"":459,""complete_sub_task_count"":0,""speed"":249036,""group_id"":""{CB6F7374-4E37-454F-8798-170B61D27D9E}"",""box_file"":{""path"":""/UC-download.mp4"",""neid"":"""",""rev"":""""},""local_file"":{""path"":""E:\\ÁªÏëÔÆÅÌ\\UC-download.mp4""}}', '', '' );]"
10:47:55:931 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , "CTaskDB::DoSave:[update task_v2 set  id='958FA1A30BE621EF1D9EC7AFBB75726F', add_time=1584413273691, is_upload=1, state=4, group_id='{CB6F7374-4E37-454F-8798-170B61D27D9E}', task_info='{""task_id"":""958FA1A30BE621EF1D9EC7AFBB75726F"",""state"":""StateWorking"",""is_folder"":false,""add_time"":1584413273691,""priority"":3,""size"":7661023,""sub_task_count"":1,""is_upload"":true,""error_code"":0,""error_info"":"""",""complete_bytes"":0,""send_bytes"":0,""used_time"":619,""complete_sub_task_count"":0,""speed"":68812,""group_id"":""{CB6F7374-4E37-454F-8798-170B61D27D9E}"",""box_file"":{""path"":""/UC-download (1).mp4"",""neid"":"""",""rev"":""""},""local_file"":{""path"":""E:\\ÁªÏëÔÆÅÌ\\UC-download (1).mp4""}}'where id='958FA1A30BE621EF1D9EC7AFBB75726F';]"
10:47:56:048 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:958FA1A30BE621EF1D9EC7AFBB75726F
10:47:56:048 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:958FA1A30BE621EF1D9EC7AFBB75726F;state:StateWorking
10:47:56:606 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:56:606 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:57:086 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:958FA1A30BE621EF1D9EC7AFBB75726F
10:47:57:087 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:958FA1A30BE621EF1D9EC7AFBB75726F;state:StateWorking
10:47:57:180 , CieMyCtrl , 8460 , "LDTaskMgrAdapter.cpp : 73" , 4 , "send  request 8: POST https://content-yunpan.lenovows.com/v2/chunked_upload?hash=33f380a20a29a90a58a02f67cf55553df72ae2d6b7506abc2deda3e8aa151e2a&offset=0&upload_id=eb461bfd-d122-439e-861b-fdd122c39ea6 "
10:47:57:180 , CieMyCtrl , 8460 , "LDTaskMgrAdapter.cpp : 73" , 4 , "server return 8: [ 200 ] {""upload_id"":""eb461bfd-d122-439e-861b-fdd122c39ea6"",""hash"":""33f380a20a29a90a58a02f67cf55553df72ae2d6b7506abc2deda3e8aa151e2a"",""status"":""success""}"
10:47:57:213 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CSubTaskDB::DoSave:C:\Users\È«ÐËÎÄ\AppData\Roaming\Lenovo\UploadPlugin\LenovoCloud\3EBEFC553141245C8B6ECE3386224A91\subtasks.db
10:47:57:213 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:57:213 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:57:213 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:57:213 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:57:606 , CieMyCtrl , 17512 , "LDTaskMgrAdapter.cpp : 73" , 4 , "send  request 9: POST https://content-yunpan.lenovows.com/v2/chunked_upload?hash=cf5232126926ec4b6e29b7b5550a936a86a277ab013e0e85361933afb795dd9e&offset=0&upload_id=3c3e511e-2a59-45a8-be51-1e2a5975a85e [ ,)???B?v????=6????'?J_???FKx?#???0I??eu??y???{? L#?p??M?fNo?[ ]"
10:47:57:606 , CieMyCtrl , 17512 , "LDTaskMgrAdapter.cpp : 73" , 4 , "server return 9: [ 200 ] {""upload_id"":""3c3e511e-2a59-45a8-be51-1e2a5975a85e"",""hash"":""cf5232126926ec4b6e29b7b5550a936a86a277ab013e0e85361933afb795dd9e"",""status"":""success""}"
10:47:57:623 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:57:623 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:57:624 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:57:624 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:57:896 , CieMyCtrl , 8460 , "LDTaskMgrAdapter.cpp : 73" , 4 , "send  request 10: POST https://content-yunpan.lenovows.com/v2/chunked_upload?hash=36a0607b2a7cbc4d05f305db5e1e048c4fcd92845ae523277a6da2d61e4396b3&offset=0&upload_id=eb461bfd-d122-439e-861b-fdd122c39ea6 [ 5??X?j?Z???\??eq<?0PZ|?C ?'?F?????b??( ]"
10:47:57:896 , CieMyCtrl , 8460 , "LDTaskMgrAdapter.cpp : 73" , 4 , "server return 10: [ 200 ] {""upload_id"":""eb461bfd-d122-439e-861b-fdd122c39ea6"",""hash"":""36a0607b2a7cbc4d05f305db5e1e048c4fcd92845ae523277a6da2d61e4396b3"",""status"":""success""}"
10:47:57:952 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:57:952 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
10:47:57:952 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , CLDTransMgr::AddChangedTaskId:strGroupId:{CB6F7374-4E37-454F-8798-170B61D27D9E};strTaskId:3EBEFC553141245C8B6ECE3386224A91
10:47:57:952 , CieMyCtrl , 9000 , "LDTaskMgrAdapter.cpp : 73" , 4 , AddChangedTaskId:id:3EBEFC553141245C8B6ECE3386224A91;state:StateWorking
